,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-03-23,841.3900,841.6900,833.0000,839.6500,839.6500,3287669,0.0000,1.0000
2017-03-24,842.0000,844.0000,829.1000,835.1400,835.1400,2105682,0.0000,1.0000
2017-03-27,828.0900,841.3800,824.3000,838.5100,838.5100,1935211,0.0000,1.0000
2017-03-28,839.6900,845.4000,832.2650,840.6300,840.6300,1519202,0.0000,1.0000
2017-03-29,842.7500,851.5850,841.3800,849.8700,849.8700,1457347,0.0000,1.0000
2017-03-30,851.9800,852.0000,846.7700,849.4800,849.4800,949398,0.0000,1.0000
2017-03-31,846.8300,849.5600,845.2445,847.8000,847.8000,1440982,0.0000,1.0000
2017-04-03,848.7500,859.0000,847.5298,856.7500,856.7500,1969402,0.0000,1.0000
2017-04-04,848.0000,853.0000,847.5050,852.5700,852.5700,1348494,0.0000,1.0000
2017-04-05,854.7100,860.5900,847.5200,848.9100,848.9100,1855153,0.0000,1.0000
2017-04-06,849.5000,853.5900,844.0000,845.0950,845.0950,1533564,0.0000,1.0000
2017-04-07,845.0000,845.8800,837.3000,842.1000,842.1000,1110404,0.0000,1.0000
2017-04-10,841.5400,846.7372,840.7900,841.7000,841.7000,1046215,0.0000,1.0000
2017-04-11,841.7000,844.6300,834.6000,839.8800,839.8800,974343,0.0000,1.0000
2017-04-12,838.4600,843.7200,837.5900,841.4600,841.4600,1135775,0.0000,1.0000
2017-04-13,841.0400,843.7300,837.8503,840.1800,840.1800,1073650,0.0000,1.0000
2017-04-17,841.3800,855.6400,841.0300,855.1300,855.1300,1049125,0.0000,1.0000
2017-04-18,852.5400,857.3900,851.2500,853.9900,853.9900,936201,0.0000,1.0000
2017-04-19,857.3850,860.2000,853.5275,856.5100,856.5100,1080336,0.0000,1.0000
2017-04-20,859.7400,863.9300,857.5000,860.0800,860.0800,1188843,0.0000,1.0000
2017-04-21,860.6200,862.4400,857.7300,858.9500,858.9500,1172870,0.0000,1.0000
2017-04-24,868.4400,879.9600,866.1100,878.9300,878.9300,1691896,0.0000,1.0000
2017-04-25,882.2600,892.2500,879.2801,888.8400,888.8400,2020460,0.0000,1.0000
2017-04-26,891.3900,892.9900,885.1500,889.1400,889.1400,1302032,0.0000,1.0000
2017-04-27,890.0000,893.3774,887.1800,891.4400,891.4400,1817740,0.0000,1.0000
2017-04-28,929.0000,935.9000,923.2200,924.5200,924.5200,38459,0.0000,1.0000
2017-05-01,924.1500,935.8200,920.8000,932.8200,932.8200,2294856,0.0000,1.0000
2017-05-02,933.2700,942.9850,931.0000,937.0900,937.0900,1745453,0.0000,1.0000
2017-05-03,936.0500,950.2000,935.2100,948.4500,948.4500,1792847,0.0000,1.0000
2017-05-04,950.2900,959.1400,947.3700,954.7200,954.7200,1934652,0.0000,1.0000
2017-05-05,956.7200,958.4395,948.0986,950.2800,950.2800,1593898,0.0000,1.0000
2017-05-08,947.4500,960.9900,947.3950,958.6900,958.6900,1863198,0.0000,1.0000
2017-05-09,961.3300,962.2000,954.4000,956.7100,956.7100,1633396,0.0000,1.0000
2017-05-10,956.2200,956.7100,949.8400,954.8400,954.8400,1135809,0.0000,1.0000
2017-05-11,951.2900,957.9900,948.6100,955.8900,955.8900,1016797,0.0000,1.0000
2017-05-12,957.8500,957.9800,952.0600,955.1400,955.1400,1204133,0.0000,1.0000
2017-05-15,955.2900,962.7000,952.8200,959.2200,959.2200,1314574,0.0000,1.0000
2017-05-16,963.5500,965.8955,960.3500,964.6100,964.6100,1069898,0.0000,1.0000
2017-05-17,959.7000,960.9900,940.0600,942.1700,942.1700,2414323,0.0000,1.0000
2017-05-18,943.2000,954.1800,941.2700,950.5000,950.5000,1758452,0.0000,1.0000
2017-05-19,952.8200,959.5600,952.0000,954.6500,954.6500,1327354,0.0000,1.0000
2017-05-22,957.0000,964.8200,956.5600,964.0700,964.0700,1305246,0.0000,1.0000
2017-05-23,969.9600,974.5100,964.5000,970.5500,970.5500,1529617,0.0000,1.0000
2017-05-24,975.2600,978.1150,971.6299,977.6100,977.6100,1128880,0.0000,1.0000
2017-05-25,979.0000,995.7800,977.8200,991.8600,991.8600,1951402,0.0000,1.0000
2017-05-26,992.0000,996.3900,987.3600,993.2700,993.2700,1622807,0.0000,1.0000
2017-05-30,992.5000,997.6200,991.3601,996.1700,996.1700,1511472,0.0000,1.0000
2017-05-31,996.2100,999.6000,981.6800,987.0900,987.0900,1703990,0.0000,1.0000
2017-06-01,990.9600,993.1400,981.2900,988.2900,988.2900,1295552,0.0000,1.0000
2017-06-02,988.5900,996.4800,987.0700,996.1200,996.1200,1719720,0.0000,1.0000
2017-06-05,997.8900,1007.4000,995.4500,1003.8800,1003.8800,1353264,0.0000,1.0000
2017-06-06,1003.3100,1008.6100,994.8000,996.6800,996.6800,1517356,0.0000,1.0000
2017-06-07,998.8200,1003.9100,995.8100,1001.5900,1001.5900,1348198,0.0000,1.0000
2017-06-08,1004.2300,1005.6000,996.6200,1004.2800,1004.2800,1657881,0.0000,1.0000
2017-06-09,1005.4900,1005.5000,953.3700,970.1200,970.1200,3613964,0.0000,1.0000
2017-06-12,958.7200,968.0000,936.7950,961.8100,961.8100,4167184,0.0000,1.0000
2017-06-13,972.0400,977.9100,962.0100,970.5000,970.5000,1992456,0.0000,1.0000
2017-06-14,975.5000,979.7000,959.5103,967.9300,967.9300,1489046,0.0000,1.0000
2017-06-15,948.0200,960.6775,940.3700,960.1800,960.1800,2349212,0.0000,1.0000
2017-06-16,957.9100,959.9500,948.7000,958.6200,958.6200,2484914,0.0000,1.0000
2017-06-19,969.6500,979.3000,968.2000,975.2200,975.2200,1449343,0.0000,1.0000
2017-06-20,975.3100,980.7900,968.2000,968.9900,968.9900,1273013,0.0000,1.0000
2017-06-21,970.7900,979.6700,969.1600,978.5900,978.5900,1141315,0.0000,1.0000
2017-06-22,976.8700,980.5000,973.3148,976.6200,976.6200,940086,0.0000,1.0000
2017-06-23,975.5000,986.6200,974.4600,986.0900,986.0900,1439728,0.0000,1.0000
2017-06-26,990.0000,993.9900,970.3300,972.0900,972.0900,1505655,0.0000,1.0000
2017-06-27,961.6000,967.2200,947.0900,948.0900,948.0900,2428048,0.0000,1.0000
2017-06-28,950.6600,963.2400,936.1600,961.0100,961.0100,2713366,0.0000,1.0000
2017-06-29,951.3500,951.6600,929.6000,937.8200,937.8200,3182331,0.0000,1.0000
2017-06-30,943.9900,944.9995,929.6100,929.6800,929.6800,2185444,0.0000,1.0000
2017-07-03,933.2200,934.2400,915.3100,919.4600,919.4600,1694587,0.0000,1.0000
2017-07-05,924.2000,936.2900,918.6305,932.2600,932.2600,2054927,0.0000,1.0000
2017-07-06,925.0000,936.1400,919.8500,927.6900,927.6900,1941822,0.0000,1.0000
2017-07-07,930.9850,944.6600,929.7900,940.8100,940.8100,1614080,0.0000,1.0000
2017-07-10,941.9500,953.1300,941.9500,951.0000,951.0000,1409850,0.0000,1.0000
2017-07-11,950.5200,954.8900,945.1200,953.5300,953.5300,1444540,0.0000,1.0000
2017-07-12,960.8600,969.6300,957.0400,967.6600,967.6600,1589548,0.0000,1.0000
2017-07-13,970.8000,978.7000,964.8000,968.8500,968.8500,1519987,0.0000,1.0000
2017-07-14,974.0000,977.5400,970.1500,976.9100,976.9100,1048240,0.0000,1.0000
2017-07-17,976.3200,983.3500,970.8000,975.9600,975.9600,1644618,0.0000,1.0000
