,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2012-09-07,253.8500,259.4200,253.5200,259.1400,259.1400,5029500,0.0000,1.0000
2012-09-10,259.0000,260.0000,256.8200,257.0900,257.0900,2567200,0.0000,1.0000
2012-09-11,257.6000,257.6000,254.2600,255.6700,255.6700,2524800,0.0000,1.0000
2012-09-12,256.5000,257.7800,253.5000,255.6300,255.6300,2273200,0.0000,1.0000
2012-09-13,254.9400,262.0000,253.8000,260.2400,260.2400,3525600,0.0000,1.0000
2012-09-14,261.4000,264.1100,259.7700,261.2700,261.2700,3666200,0.0000,1.0000
2012-09-17,261.2500,261.2500,257.0000,258.0000,258.0000,2306300,0.0000,1.0000
2012-09-18,258.4800,260.5000,257.0000,258.7500,258.7500,2215000,0.0000,1.0000
2012-09-19,259.4500,262.8400,258.5300,261.6800,261.6800,2636800,0.0000,1.0000
2012-09-20,260.0300,260.8700,258.0000,260.8100,260.8100,2913600,0.0000,1.0000
2012-09-21,261.7400,262.0000,256.7400,257.4700,257.4700,6059300,0.0000,1.0000
2012-09-24,255.2200,255.6000,253.0000,254.8050,254.8050,2707900,0.0000,1.0000
2012-09-25,256.3300,258.9500,251.0300,252.4600,252.4600,4405800,0.0000,1.0000
2012-09-26,252.4000,254.6100,248.2300,249.6700,249.6700,2920500,0.0000,1.0000
2012-09-27,250.5400,257.4000,250.5200,256.5900,256.5900,3397400,0.0000,1.0000
2012-09-28,256.1400,257.0000,253.2000,254.3200,254.3200,2456600,0.0000,1.0000
2012-10-01,255.4000,256.1600,250.4900,252.0100,252.0100,2581200,0.0000,1.0000
2012-10-02,252.8000,253.1500,249.0300,250.6000,250.6000,2195800,0.0000,1.0000
2012-10-03,251.2100,256.1000,249.5600,255.9200,255.9200,2745600,0.0000,1.0000
2012-10-04,256.0100,261.5200,255.8700,260.4700,260.4700,2700400,0.0000,1.0000
2012-10-05,261.2000,261.9000,257.4900,258.5100,258.5100,2806500,0.0000,1.0000
2012-10-08,257.6700,259.8000,255.5600,259.0600,259.0600,1762300,0.0000,1.0000
2012-10-09,258.6700,259.3500,250.7300,250.9600,250.9600,3494800,0.0000,1.0000
2012-10-10,252.0000,252.4600,244.0100,244.9900,244.9900,3948300,0.0000,1.0000
2012-10-11,248.0000,249.3000,241.8900,244.2200,244.2200,3447300,0.0000,1.0000
2012-10-12,243.3300,245.4600,241.9100,242.3600,242.3600,2203200,0.0000,1.0000
2012-10-15,242.8500,244.7760,238.5100,244.1800,244.1800,2959800,0.0000,1.0000
2012-10-16,244.8700,245.7700,242.0800,243.9400,243.9400,2204100,0.0000,1.0000
2012-10-17,243.3700,248.7999,243.3000,247.4900,247.4900,3302700,0.0000,1.0000
2012-10-18,247.7700,250.9100,242.7000,244.8500,244.8500,5305300,0.0000,1.0000
2012-10-19,245.1600,246.8200,238.9400,240.0000,240.0000,4395300,0.0000,1.0000
2012-10-22,238.8100,238.9500,232.3200,233.7800,233.7800,4500000,0.0000,1.0000
2012-10-23,231.0500,236.5000,230.0100,234.3100,234.3100,4430800,0.0000,1.0000
2012-10-24,235.8800,235.9400,227.9501,228.4900,228.4900,3678700,0.0000,1.0000
2012-10-25,230.9200,230.9200,222.9200,222.9200,222.9200,6741300,0.0000,1.0000
2012-10-26,228.6001,238.7100,226.6900,238.2400,238.2400,11367500,0.0000,1.0000
2012-10-31,236.3200,238.7000,230.5000,232.8931,232.8931,4797600,0.0000,1.0000
2012-11-01,234.2300,234.5500,231.3400,232.1400,232.1400,3905100,0.0000,1.0000
2012-11-02,234.0100,237.4000,232.1100,232.4224,232.4224,3374700,0.0000,1.0000
2012-11-05,232.0400,234.8300,230.1100,234.3300,234.3300,1846100,0.0000,1.0000
2012-11-06,235.4100,237.7500,234.4500,237.5600,237.5600,2661300,0.0000,1.0000
2012-11-07,235.6500,235.6600,229.4200,232.0608,232.0608,3624200,0.0000,1.0000
2012-11-08,232.2200,233.4500,227.1000,227.3500,227.3500,2982400,0.0000,1.0000
2012-11-09,226.2600,230.9700,224.6002,226.3100,226.3100,3092500,0.0000,1.0000
2012-11-12,226.5900,229.2199,225.4100,226.4700,226.4700,2128800,0.0000,1.0000
2012-11-13,225.1200,227.9000,224.7100,226.6000,226.6000,2629800,0.0000,1.0000
2012-11-14,226.5000,227.4100,222.5100,222.9500,222.9500,3034100,0.0000,1.0000
2012-11-15,222.3000,225.1600,218.1800,220.5990,220.5990,3404700,0.0000,1.0000
2012-11-16,221.3100,226.2500,218.6400,225.2300,225.2300,4352800,0.0000,1.0000
2012-11-19,228.3200,232.5000,227.4500,229.7100,229.7100,3591200,0.0000,1.0000
